#{"t_start": 1768400364.4744728, "env_id": "LunarLander-v3"}
r,l,t
209.618238,424,518.139431
-64.679582,362,519.8426
52.251878,1000,520.685882
127.142046,792,521.329866
-65.349558,394,523.210106
-31.119179,1000,524.160512
164.359833,378,524.377512
-70.705752,277,524.515145
-73.470794,351,526.25901
-66.821364,1000,527.066397
-26.329699,288,527.199397
173.801612,646,529.210874
208.019535,380,529.452876
243.9206,334,529.626213
245.721091,485,529.923212
-141.89504,586,530.491849
-7.224378,217,531.997652
-21.203138,240,532.167653
-44.145509,260,532.295653
96.090288,958,533.148098
-45.921802,216,533.243816
-28.017815,219,533.349816
217.405692,468,535.117611
198.324211,395,535.372624
216.862947,360,535.568091
203.379315,478,535.889484
-95.935099,531,537.780791
234.753789,331,538.007805
0.79889,319,538.166793
-83.532905,1000,539.167085
-28.722644,1000,541.280294
222.827726,282,541.413294
-161.138774,989,542.015714
-40.459658,238,543.633897
244.816556,358,543.825892
-69.023093,1000,544.763429
233.970411,417,545.014141
240.730784,378,546.754339
240.129102,348,546.918334
-30.727622,1000,547.550728
252.807431,343,547.748728
170.550661,335,549.444827
-54.276363,323,549.591221
-50.865442,1000,550.596591
213.295496,375,550.818591
207.662656,326,552.4937
-45.781513,1000,553.18217
223.714236,307,553.32417
141.181865,914,555.980017
219.964364,410,556.230019
-43.783889,1000,557.04738
-91.212294,797,559.13859
224.880607,302,559.28759
-106.398478,1000,560.045041
-72.499661,1000,562.47422
-39.845738,233,562.586493
-59.418643,371,562.825505
-68.212001,1000,565.109709
235.316867,338,565.293697
215.777407,470,565.60794
205.105294,443,565.88694
-46.792922,212,565.97994
1.100475,298,567.559122
-51.130191,1000,568.659596
196.975709,311,568.805493
193.65574,376,569.025493
-82.895596,298,569.167493
-73.959059,357,570.838709
-21.763106,194,570.926709
-31.82197,201,571.017709
229.378294,430,571.306722
-63.387183,367,571.477718
79.564015,1000,573.504758
-56.679491,187,573.584652
231.603512,363,573.792637
-66.072141,361,573.959637
-40.803151,202,574.048637
-86.724256,256,574.174637
-44.323671,600,576.108837
218.702751,304,576.262837
206.680318,429,576.55015
183.172608,341,576.731132
79.333593,923,578.945354
-35.523488,248,579.053353
5.794763,212,579.149352
-31.452783,209,579.242455
227.206153,337,579.432353
234.150578,311,579.602816
-71.099536,401,579.835816
-57.372784,355,581.526622
220.643578,309,581.688309
228.81672,412,581.916321
119.967276,585,582.274309
-99.884215,506,584.107683
225.726866,323,584.270684
7.295291,238,584.377684
212.872792,348,584.571876
227.787717,335,584.745864
-41.662527,288,584.873864
-93.382658,1000,587.181067
217.941744,382,587.423067
-19.39685,231,587.532782
194.006925,292,587.676439
234.592683,273,587.823439
-113.796743,463,589.576232
150.550335,810,590.103167
-31.059544,227,590.204167
-101.424835,492,590.510818
-26.624893,217,590.626547
176.411604,366,592.347734
-85.642004,1000,593.173586
-42.493188,1000,595.506203
-84.577871,293,595.651074
212.61265,312,595.823062
192.715954,308,595.989682
240.755589,387,596.21624
-60.839331,283,596.35824
192.295899,339,598.002065
-81.860134,1000,598.814082
228.786951,354,599.041497
162.973529,361,599.227497
206.276412,293,600.789329
-45.654981,1000,601.498937
202.623026,316,601.651729
-40.183497,212,601.736725
222.540051,340,601.925672
194.302633,399,603.600701
-106.852143,368,603.789748
-133.359598,558,604.257962
222.114772,314,604.429961
235.857515,299,604.585576
-98.365333,360,606.197089
-99.328615,472,606.481161
-115.096186,508,606.812829
-65.505105,281,606.952828
255.47336,277,607.095571
-53.504648,219,607.189573
240.702407,351,608.830073
-74.047373,276,608.975061
192.78021,345,609.172012
212.117614,340,609.356013
-27.989636,205,609.448066
-144.162301,653,609.914447
231.215123,307,611.51776
-13.728461,211,611.612273
178.911621,313,611.76328
227.963084,323,611.930288
1.717607,1000,614.643956
-87.169414,284,614.799897
193.148096,871,615.424955
215.741776,383,615.690121
274.447287,413,615.91412
-39.278643,208,617.386248
-48.395608,214,617.48123
175.609686,497,617.799541
181.966154,299,617.944539
-41.804046,195,618.024596
249.040321,309,618.199599
206.726363,418,619.933785
-6.434206,199,620.057877
70.596564,1000,621.083355
-33.125201,200,621.167351
-169.646925,861,623.351392
-89.577134,575,623.736342
-36.644866,240,623.849392
-105.075811,1000,625.955305
-126.41668,700,626.566411
-21.896942,195,626.653355
-24.348173,309,626.81535
-46.975799,1000,629.013635
