#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-70.942579,233,481.815572
-129.715109,339,482.009009
205.104035,452,483.782092
221.904465,637,484.153607
140.32324,348,484.349591
197.304853,470,484.678591
97.447476,654,486.683171
184.732431,419,486.932852
154.357199,751,487.610725
210.099821,426,487.914725
94.479582,834,490.026378
203.437715,533,490.443392
-124.843419,489,490.746003
-82.861518,263,490.872003
-93.204916,178,490.94943
190.25112,459,492.83413
181.477026,633,493.230612
193.460107,407,493.517334
151.919196,455,493.809334
199.005635,412,495.603018
123.275487,479,495.908018
174.973142,489,496.254601
-93.591444,138,496.310601
157.480653,452,496.626972
142.589333,435,498.404361
-111.917085,171,498.47736
-121.697846,413,498.744929
-141.877711,592,499.1574
-118.691302,148,499.219401
-108.993377,324,499.397401
90.419917,580,501.25926
-106.331319,603,501.708763
160.245786,422,501.960092
-111.416287,173,502.034508
-74.031852,326,502.219496
-114.424445,539,504.211117
185.716928,465,504.513129
172.091469,453,504.813424
147.407815,396,505.032756
-121.741813,395,506.708101
-75.799859,500,506.982476
-106.647919,433,507.203465
129.803092,511,507.554462
-81.769335,206,507.648999
126.065993,556,509.496277
158.001617,636,510.066358
155.587357,424,510.293359
130.863668,492,510.626971
10.536934,1000,512.874753
140.979614,432,513.153197
117.994823,588,513.581197
-122.345855,613,515.35504
-174.627978,524,515.66704
162.977857,414,515.922392
208.452777,387,516.154095
-77.318523,168,516.225096
-97.040269,190,516.310831
-101.696064,545,518.149944
-91.023201,236,518.267957
-86.500681,274,518.40961
-88.153545,161,518.47861
210.875161,658,518.93795
-100.379424,253,520.599831
-77.258722,360,520.815507
150.53744,494,521.192847
-97.883347,232,521.301551
163.881235,443,521.579551
200.396053,607,523.539117
-111.556576,400,523.74313
-89.326526,192,523.82513
-86.811064,287,523.970401
-108.694066,453,524.241401
109.444389,552,524.7184
222.513869,592,526.662666
-133.703044,255,526.780666
155.86237,570,527.115049
-139.258288,611,527.541049
167.041853,431,529.348236
-109.597732,298,529.505236
-73.471531,240,529.632238
-92.499916,272,529.764236
-79.258489,264,529.902253
154.514576,381,530.095825
161.645239,437,531.926609
131.514277,564,532.279213
185.607872,484,532.604214
137.469467,547,532.910226
-89.360288,193,532.993694
-66.161762,216,534.517783
-79.46599,148,534.578782
195.563311,551,534.921486
-109.410432,311,535.089164
164.632282,411,535.31818
167.717101,489,537.143364
200.680691,447,537.442367
213.891746,402,537.686366
-76.771612,351,537.903366
-72.869847,418,538.146848
-163.165188,565,540.06616
-72.496021,282,540.227159
-89.574001,235,540.34116
182.67622,499,540.61616
-85.899308,253,540.73416
-86.33903,241,540.843175
-81.943107,267,540.979756
-128.900332,450,542.681869
122.443201,639,543.123281
103.249118,411,543.348294
-45.738488,326,543.511281
138.528467,478,545.297524
189.833011,434,545.596524
-203.672981,443,545.822523
199.374796,712,546.375964
218.136676,358,548.073175
-105.978288,486,548.410161
162.862676,447,548.669161
158.657101,431,548.948829
-32.363391,1000,551.464773
